Card,Banned
Art of War,Yes
Awakening,Yes
Berserk,Yes
Bloodsheath Skeleta,Yes
"Bravo, Star of the Show",Yes
"Briar, Warden of Thorns",Yes
Cash In,Yes
"Chane, Bound by Shadow",Yes
Channel Lightning Valley,Yes
Count Your Blessings,Yes
Drone of Brutality,Yes
Electromagnetic Somersault,Yes
Heavy Industry Power Plant,Yes
Kraken's Aethervein,Yes
Mordred Tide,Yes
Open the Flood Gates,Yes
Orihon of Mystic Tenets,Yes
Remembrance,Yes
Skyward Serenade,Yes
Stubby Hammerers,Yes
Tome of Divinity,Yes
Tome of Firebrand,Yes
Tome of Fyendal,Yes
"Volzar, the Lightning Rod",Yes
Zephyr Needle,Yes
,Yes
,Yes
,Yes
,Yes
,Yes
,Yes
,Yes
,Yes
,Yes
,Yes
,Yes
,Yes
