Card,Banned
"Yorick, Weaver of Tales",Yes
,
Aether Ironweave,Yes
Goliath Gauntlet,Yes
Heartened Cross Strap,Yes
Mask of Three Tails,Yes
Ragamuffin's Hat,Yes
Rosetta Thorn,Yes
Snapdragon Scalers,Yes
Stubby Hammerers,Yes
Vest of the First Fist,Yes
Waning Moon,Yes
Zephyr Needle,Yes
,
Aether Flare,Yes
Amulet of Ice,Yes
Ball Lightning,Yes
Belittle,Yes
Bonds of Ancestry,Yes
Cash In,Yes
Count Your Blessings,Yes
Deadwood Dirge,Yes
Drone of Brutality,Yes
Electromagnetic Somersault,Yes
Fate Foreseen,Yes
Flic Flak,Yes
Plunder Run,Yes
Rake the Embers,Yes
Rootbound Carapace,Yes
Seeds of Agony,Yes
Sigil of Solace,Yes
Sink Below,Yes
