Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Silver Age Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Expansion Slot 3,Artists 3,Flavor Text 3,Image URL 3
AHA001,AHA,"Hala, Bladesaint of the Vow",,,,,,40,4,,"Warrior, Hero",,Action,"Sharpen, Go again",,,,"**Action** - {r}{r}{r}, {t}: **Sharpen** target sword you control. **Go again**",Warrior Hero,,No,,No,No,No,M,R,,Federico Musetti,,,AHA001,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA001.png,,,,,,,,,,,,,,,,,,,
AHA002,AHA,Zenith Blade,,,,3,,,,,"Warrior, Weapon, Sword, 2H","Hala Specialization, Go again",,,,,,"**Hala Specialization**

**Once per Turn Action** - {r}: **Attack**

If this has been sharpened this turn, its first attack this turn gets **go again**.",Warrior Weapon - Sword (2H),,,,,,,R,R,,Thomas Ressuge,,,AHA002,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA002.png,,,,,,,,,,,,,,,,,,,
AHA003,AHA,Anticipating Gaze,,,,,2,,,,"Warrior, Equipment, Head",Blade Break,,,,,,"When a sword attack you control hits, you may remove a +1{p} counter from the sword. If you do, destroy this and draw a card.

**Blade Break**",Warrior Equipment - Head,,,,No,No,,M,R,,Alif Zahrah,,,AHA003,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA003.png,,,,,,,,,,,,,,,,,,,
AHA004,AHA,Paragon Plate,,,,,2,,,,"Warrior, Equipment, Chest",Temper,,,,,,"**Attack Reaction** - {t}, remove a +1{p} counter from an attacking sword you control: Gain {r}

**Temper**",Warrior Equipment - Chest,,,,No,No,,L,R,,Amtepra,,,AHA004,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA004.png,,,,,,,,,,,,,,,,,,,
AHA005,AHA,Reverent Rerebrace,,,,,2,,,,"Warrior, Equipment, Arms","Sharpen, Temper",,,,,,"If you would sharpen a Zenith Blade, instead you may pay {r} and destroy this. If you do, **sharpen** it an additional time.

**Temper**",Warrior Equipment - Arms,,,,,No,,M,R,,Ismatulloh,,,AHA005,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA005.png,,,,,,,,,,,,,,,,,,,
AHA006,AHA,Silverstride Dodgers,,,,,1,,,,"Warrior, Equipment, Legs",Temper,,,,,,"If you control a Flurry token, this gets +1{d}.

**Temper**",Warrior Equipment - Legs,,,,,No,,M,R,,Alifka Hamman,,,AHA006,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA006.png,,,,,,,,,,,,,,,,,,,
AHA007,AHA,Deadly Display,Red,1,1,,2,,,,"Warrior, Attack Reaction",,,,,,,"Target weapon attack gets +3{p}. If the weapon has been sharpened this turn, the attack gets ""When this hits a hero, create a Flurry token.""",Warrior Attack Reaction,,,,,,,C,,,Narendra B Adi,,,AHA007,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA007.png,,,,,,,,,,,,,,,,,,,
AHA008,AHA,Gleam of the Blade,Red,1,1,,2,,,,"Warrior, Attack Reaction",,,,,,,"Target weapon attack gets +3{p}.

**Instant** - Discard this: Create a Flurry token.",Warrior Attack Reaction,,,,,,,R,,,Vincent Taslim,,,AHA008,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA008.png,,,,,,,,,,,,,,,,,,,
AHA009,AHA,Polished Blade,Red,1,0,,3,,,,"Warrior, Attack Reaction",,,,,,,"As an additional cost to play this, remove 1 or more +1{p} counters from an attacking sword on the active chain link. Choose that many modes plus 1:
- The sword's attack gets **go again**.
- You may attack an additional time with the sword this turn.
- Your next attack with the sword this turn costs {r} less to activate.",Warrior Attack Reaction,,,,,No,,M,,,Olga Tereshenko,,,AHA009,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA009.png,,,,,,,,,,,,,,,,,,,
AHA010,AHA,Silverdrop Downpour,Red,1,2,,3,,,,"Warrior, Attack Reaction",,,,,,,"Target weapon attack gets +4{p}.

If the weapon has been sharpened this turn, this costs {r} less to play.",Warrior Attack Reaction,,,,,,,C,,,Tomi Ong,,,AHA010,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA010.png,,,,,,,,,,,,,,,,,,,
