Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Rarity,Foiling,Art Variation,Artist,Flavor Text,Image URL,Rarity 2,Foiling 2,Art Variation 2,Artist 2,Flavor Text 2,Image URL 2,Rarity 3,Foiling 3,Art Variation 3,Artist 3,Flavor Text 3,Image URL 3
AKO001,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO002,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO003,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO004,AKO,Savage Sash,,,,2,,,"Brute, Equipment, Chest",Temper,Action,Go again,,,,"**Action** - Destroy this: Attack action cards with 6 or more {p} cost you {r} less to play this turn. **Go again**

**Temper**",Brute Equipment - Chest,,,,No,M,S,,Carlos Cruchaga,,/AKO004.png,,,,,,,,,,,,
AKO005,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO006,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO007,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO008,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO009,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO010,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO011,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO012,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO013,AKO,Strength Rules All,1,2,6,3,,,"Brute, Action, Attack",,,,,,,"When this hits a hero, turn a card in their arsenal face-up, then banish an attack action card in their arsenal with {p} less than the damage dealt this way.",Brute Action - Attack,,,,No,M,S,,Tomasz Jedruszek,,/AKO013.png,,,,,,,,,,,,
AKO014,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO015,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO016,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO017,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO018,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO019,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO020,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO021,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO022,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO023,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO024,AKO,Run Roughshod,3,1,5,3,,,"Brute, Action, Attack",,,,,,,Play this only if you've discarded a card with 6 or more {p} this turn.,Brute Action - Attack,,,,No,R,,,Edward Chee,,/AKO024.png,,,,,,,,,,,,
AKO025,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO026,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO027,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO028,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO029,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO030,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO031,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO032,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO033,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO034,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO035,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO036,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO037,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO038,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO039,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO040,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO041,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO042,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO043,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO044,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO045,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO046,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO047,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO048,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO049,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO050,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO051,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO052,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO053,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO054,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO055,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO056,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO057,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO058,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO059,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO060,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKO061,AKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
