Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,CC Legal,Silver Age Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Expansion Slot 3,Artists 3,Flavor Text 3,Image URL 3
AMA001,AMA,"Malice, Domina of the Dead",,,,,,40,4,,"Shadow, Necromancer, Hero",,,,,,,,"**Action** - {r}, {t}: Until end of turn, you may play target zombie from your graveyard. **Go again**

Whenever a zombie you control dies, banish it face-down and create a Corrupted Corpse in your banished Zone.",Shadow Necromancer Hero,,,No,,M,R,,João G. Santos,,,AMA001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA001-RF.webp,,,,,,,,,,,,,,,,,,,
AMA002,AMA,Vox Necropolis,,,,,,,,,"Shadow, Necromancer, Weapon, Staff, 2H",,,,,,,,"During your action phase, zombies you've played from a graveyard or banished zone enter the arena tapped and get ""When this enteres the arena, **attack** with it.""

Zombies you control get ""**Action** - {r}, {t}: **Attack**""",Shadow Necromancer Weapon - Staff (2H),,,,,C,R,,Jessketchin,,,AMA002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA002-RF.webp,,,,,,,,,,,,,,,,,,,
AMA003,AMA,Corrupted Crown,,,,,1,,,,"Shadow, Equipment, Head",,Blade Break,,,,,,"When this defends, you may banish a card from your hand. If you do, this gets +1{d}.

**Blade Break**",Shadow Equipment - Head,,,,,R,R,,Dzulfikar Aliy,,,AMA003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA003-RF.webp,,,,,,,,,,,,,,,,,,,
AMA004,AMA,Drop Dead Bodice,,,,,0,,,,"Shadow, Necromancer, Equipment, Chest",,Arcane Barrier 1,,,,,,"**Instant** - Destroy this: Until end of turn, whenever a zombie is put into your graveyard, gain {r}.

**Arcane Barrier 1**",Shadow Necromancer Equipment - Chest,,,,,R,R,,Ilham Bahtiar,,,AMA004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA004-RF.webp,,,,,,,,,,,,,,,,,,,
AMA005,AMA,Undead Grasp,,,,,1,,,,"Shadow, Necromancer, Equipment, Arms",,Battleworn,Action,Go again,,,,"**Action** - {r}, discard a zombie, destroy this: Your next zombie attack this turn gets +3{p} and ""When this hits, destroy this zombie."" **Go again**

**Battleworn**",Shadow Necromancer Equipment - Arms,,,No,,M,R,,Brian Madya Narendra,,,AMA005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA005-RF.webp,,,,,,,,,,,,,,,,,,,
AMA006,AMA,Mage Master Boots,,,,,0,,,,"Generic, Equipment, Legs",,Go again,,,,,,"**Action** - {r}, destroy this: The next non-attack action card you play this turn gets **go again**. **Go again**",Generic Equipment - Legs,,,,,C,R,AA,Reza Aswadananta,,,AMA006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA006-RF.webp,,,,,,,,,,,,,,,,,,,
AMA007,AMA,Ominous Toll,Red,1,0,3,2,,,,"Shadow, Necromancer, Action, Attack",,Go again,,,,,,"When this attacks, you may discard a zombie. If you do, create a Gate to i'Arathael token.

**Go again**",Shadow Necromancer Action - Attack,,,,,C,,,Jefrey Yonathan,,,AMA007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA007.webp,,,,,,,,,,,,,,,,,,,
AMA008,AMA,Sink Below,Red,1,0,,4,,,,"Generic, Defense Reaction",,,,,,,,"You may put a card from your hand on the bottom of your deck. If you do, draw a card.",Generic Defense Reaction,,,,,R,,,Vlad Varlamov,,,AMA008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA008.webp,,,,,,,,,,,,,,,,,,,
AMA009,AMA,Commit to Corruption,Red,1,0,,3,,,,"Shadow, Necromancer, Action",,Go again,,,,,,"Your next attack this turn gets +3{p} and ""When this hits, create a Corrupted Corpse in your banished zone.""

**Go again**",Shadow Necromancer Action,,,,,R,,,Isuardi Therianto,,,AMA009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA009.webp,,,,,,,,,,,,,,,,,,,
AMA010,AMA,Darkest Hour,Red,1,2,,3,,,,"Shadow, Action",,"Go again, Blood Debt",,,,,,"You may put a card from your hand on top of your deck rather than pay this card's {r} cost.

Your next Shadow attack this turn gets +4{p}. **Go again**

**Blood Debt**",Shadow Action,,,,,C,,,Nailsen Ivanderlie,,,AMA010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA010.webp,,,,,,,,,,,,,,,,,,,
