Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,CC Legal,Silver Age Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,Rarity 4,Foiling 4,Art Variations 4,Artists 4,Expansion Slot 4,Flavor Text 4,Identifier 4,Image URL 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Expansion Slot 5,Flavor Text 5,Identifier 5,Image URL 5,Rarity 6,Foiling 6,Art Variations 6,Artists 6,Expansion Slot 6,Flavor Text 6,Identifier 6,Image URL 6
AMO001,AMO,"Dr. Mortimer, Blight of the Pits",,,,,,40,4,,"Assassin, Hero",,"Go again, Cure",,,,,,"**Instant** - {t}: **Cure** a disease an opponent controls. If you do, create a Silver token.

**Attack Reaction** - {t}, destroy 2 Silver you control: Target Assassin attack gets **go again**.",Assassin Hero,,,No,,M,R,,Othon Nikolaidis,,,AMO001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO001-RF.webp,,,,,,Othon Nikolaidis,,,AMO001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO001.webp,,,,,,Othon Nikolaidis,,,AMO001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO001.webp,,,,Othon Nikolaidis,,,AMO001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO001.webp,,,,Othon Nikolaidis,,,AMO001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO001.webp,,,,Othon Nikolaidis,,,AMO001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO001.webp
AMO002,AMO,Humour Plunge,,,,1,,,,,"Assassin, Weapon, Dagger, 1H",,"Go again, Piercing 1",,,,,,"**Action** - {r}{r}, {t}: **Attack**. **Go again**

If this is attacking an infected hero, this gets +1{p}.

**Piercing 1**",Assassin Weapon - Dagger (1H),,,,,R,R,,Mateusz Wiśniewski,,,AMO002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO002-RF.webp,,,,,,Mateusz Wiśniewski,,,AMO002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO002.webp,,,,,,Mateusz Wiśniewski,,,AMO002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO002.webp,,,,Mateusz Wiśniewski,,,AMO002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO002.webp,,,,Mateusz Wiśniewski,,,AMO002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO002.webp,,,,Mateusz Wiśniewski,,,AMO002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO002.webp
AMO003,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO003.webp,,,,,,,,,AMO003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO003.webp,,,,,,,,,AMO003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO003.webp,,,,,,,AMO003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO003.webp,,,,,,,AMO003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO003.webp,,,,,,,AMO003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO003.webp
AMO004,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO004.webp,,,,,,,,,AMO004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO004.webp,,,,,,,,,AMO004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO004.webp,,,,,,,AMO004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO004.webp,,,,,,,AMO004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO004.webp,,,,,,,AMO004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO004.webp
AMO005,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO005.webp,,,,,,,,,AMO005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO005.webp,,,,,,,,,AMO005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO005.webp,,,,,,,AMO005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO005.webp,,,,,,,AMO005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO005.webp,,,,,,,AMO005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO005.webp
AMO006,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO006.webp,,,,,,,,,AMO006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO006.webp,,,,,,,,,AMO006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO006.webp,,,,,,,AMO006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO006.webp,,,,,,,AMO006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO006.webp,,,,,,,AMO006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO006.webp
AMO007,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO007.webp,,,,,,,,,AMO007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO007.webp,,,,,,,,,AMO007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO007.webp,,,,,,,AMO007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO007.webp,,,,,,,AMO007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO007.webp,,,,,,,AMO007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO007.webp
AMO008,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO008.webp,,,,,,,,,AMO008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO008.webp,,,,,,,,,AMO008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO008.webp,,,,,,,AMO008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO008.webp,,,,,,,AMO008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO008.webp,,,,,,,AMO008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO008.webp
AMO009,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO009.webp,,,,,,,,,AMO009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO009.webp,,,,,,,,,AMO009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO009.webp,,,,,,,AMO009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO009.webp,,,,,,,AMO009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO009.webp,,,,,,,AMO009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO009.webp
AMO010,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO010.webp,,,,,,,,,AMO010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO010.webp,,,,,,,,,AMO010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO010.webp,,,,,,,AMO010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO010.webp,,,,,,,AMO010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO010.webp,,,,,,,AMO010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO010.webp
