Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Expansion Slot 3,Artists 3,Flavor Text 3,Image URL 3
AMX001,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX001,,,,,,,,,,,,,,,,,,,,
AMX002,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX002,,,,,,,,,,,,,,,,,,,,
AMX007,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX007,,,,,,,,,,,,,,,,,,,,
AMX008,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX008,,,,,,,,,,,,,,,,,,,,
AMX009,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX009,,,,,,,,,,,,,,,,,,,,
AMX010,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX010,,,,,,,,,,,,,,,,,,,,
AMX011,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX011,,,,,,,,,,,,,,,,,,,,
AMX012,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX012,,,,,,,,,,,,,,,,,,,,
AMX013,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX013,,,,,,,,,,,,,,,,,,,,
AMX014,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX014,,,,,,,,,,,,,,,,,,,,
AMX015,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX015,,,,,,,,,,,,,,,,,,,,
AMX016,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX016,,,,,,,,,,,,,,,,,,,,
AMX017,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX017,,,,,,,,,,,,,,,,,,,,
AMX019,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX019,,,,,,,,,,,,,,,,,,,,
AMX020,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX020,,,,,,,,,,,,,,,,,,,,
AMX021,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX021,,,,,,,,,,,,,,,,,,,,
AMX022,AMX,Bank Breaker,,,3,,,,,"Mechanologist, Weapon, Wrench, 2H","Overpower, Go again",Twice per Turn Action,,,,,"**Twice per Turn Action** - {r}: **Attack**. Activate this only if you've cranked this turn.

When this attacks, you may banish a card from under it. If you do, the attack gets **overpower** and **go again**.",Mechanologist Weapon - Wrench (2H),,,,No,,M,R,,M Fakhrur Rozzi,,,AMX022,/AMX002-temp.png,,,,,,,,,,,,,,,,,,,
AMX023,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX023,,,,,,,,,,,,,,,,,,,,
AMX024,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX024,,,,,,,,,,,,,,,,,,,,
AMX025,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX025,,,,,,,,,,,,,,,,,,,,
AMX026,AMX,Clamp Press,3,2,,,,,,"Mechanologist, Action, Item",Crank,,,,,,"**Crank**

This enters the arena with 2 steam counters. At the start of your turn, destroy this unless you remove a steam counter from it.

Wrenches you control get +2{p}.",Mechanologist Action - Item,,,,No,,M,R,,Mariusz Gandzel,,,AMX026,/AMX026-temp.png,,,M,,,Mariusz Gandzel,,,AMX026,/AMX026-temp.png,,,,,,,,,
AMX027,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX027,,,,,,,,,,,,,,,,,,,,
AMX028,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX028,,,,,,,,,,,,,,,,,,,,
AMX029,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX029,,,,,,,,,,,,,,,,,,,,
AMX030,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX030,,,,,,,,,,,,,,,,,,,,
AMX031,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX031,,,,,,,,,,,,,,,,,,,,
AMX032,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX032,,,,,,,,,,,,,,,,,,,,
AMX033,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX033,,,,,,,,,,,,,,,,,,,,
AMX034,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX034,,,,,,,,,,,,,,,,,,,,
AMX035,AMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMX035,,,,,,,,,,,,,,,,,,,,
