Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Silver Age Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,Rarity 4,Foiling 4,Art Variations 4,Artists 4,Expansion Slot 4,Flavor Text 4,Identifier 4,Image URL 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Expansion Slot 5,Flavor Text 5,Identifier 5,Image URL 5,,,Rarity 6,Foiling 6,Art Variations 6,Artists 6,Expansion Slot 6,Flavor Text 6,Identifier 6,Image URL 6
ANQ000,ANQ,Enlightened Strike,Red,1,,,,,,,,,,,,,,,,,,,,No,No,,M,C,"FA, AA",Wisnu Tan,,,ANQ000,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ000.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ001,ANQ,Heart of Fyendal,Blue,3,,,,,,,,,,,,,,,,,,,,No,No,,F,S,"EA, AA",Nathaniel Himawan,,,ANQ001,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ001.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ002,ANQ,Eye of Ophidia,Blue,3,,,,,,,,,,,,,,,"**Legendary**

When this is pitched, **opt 2**.",,,,,No,No,,F,S,"EA, AA",Livia Prima,,,ANQ002,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ002.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ003,ANQ,Riches of Trōpal-Dhani,Yellow,2,,,,,,,,,,,,,,,,,,,,No,No,,F,S,"EA, AA",Mario Wibisono,,,ANQ003,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ004,ANQ,Balance of Justice,,,,,,,,,,,,,,,,,,,,,,No,No,,L,R,"EA, AA",Sariya Asavametha,,,ANQ004,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ005,ANQ,Crown of Providence,,,,,,,,,,,,,,,,,,,,,,No,No,,L,R,"EA, AA",Dominik Mayer,,,ANQ005,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ006,ANQ,Fyendal's Spring Tunic,,,,,,,,,,,,,,,,,,,,,,No,No,,L,R,"EA, AA",Lius Lasahido,,,ANQ006,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ007,ANQ,Stonewall Gauntlet,,,,,,,,,,,,,,,,,,,,,,No,No,,L,R,"EA, AA",Carlos Cruchaga,,,ANQ007,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ007.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ008,ANQ,Quickdodge Flexors,,,,,,,,,,,,,,,,,,,,,,No,No,,L,R,"EA, AA",Fajareka Setiawan,,,ANQ008,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ009,ANQ,Command and Conquer,Red,1,,,,,,,,,,,,,,,,,,,,No,No,,L,R,"EA, AA",Jessada Sutthi,,,ANQ009,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ010,ANQ,Shelter from the Storm,Red,1,,,,,,,,,,,,,,,,,,,,No,No,,L,R,"EA, AA",Nathaniel Himawan,,,ANQ010,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ010.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ011,ANQ,Amnesia,Red,1,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ011,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ011.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ012,ANQ,Censor,Red,1,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ012,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ012.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ013,ANQ,Cut Through the Facade,Red,1,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ013,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ013.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ014,ANQ,Ripple Away,Blue,3,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ014,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ014.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ015,ANQ,Tenacity,Yellow,2,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ015,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ015.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ016,ANQ,The Weakest Link,Red,1,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ016,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ016.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ017,ANQ,Hold the Line,Blue,3,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ017,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ017.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ018,ANQ,That All You Got?,Yellow,2,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ018,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ018.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
