Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Expansion Slot 3,Artists 3,Flavor Text 3,Image URL 3
APS001,APS,"Pleiades, Superstar",,,,,,,,,"Revered, Guardian, Hero",,,,,,,,,,,,,,,M,,,Livia Prima,,,APS001,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-APS/EN/APS001.png,,,,,,,,,,,,,,,,,,,
APS002,APS,Pleiades,,,,,,20,4,,"Revered, Guardian, Hero, Young",,,,,,,,"**Instant** - {t}, remove a suspense counter from an aura you control: You may put a suspense counter on an aura of suspense you control.

Whenever the crowd cheers you, create a Confidence token.",Revered Guardian Hero - Young,,,No,,No,R,,,Livia Prima,,,APS002,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-APS/EN/APS002.png,,,,,,,,,,,,,,,,,,,
APS003,APS,Moment Maker,,,,4,,,,,"Revered, Guardian, Weapon, Hammer, Axe, 2H",,The Crowd Cheers,Once per Turn Action,Attack,,,Suspense,"**Once per Turn Action** - {r}{r}{r}: **Attack**

If you control 3 or more auras of suspense, this gets +2{p} and ""When this hits a hero, **the crowd cheers** you.""",Revered Guardian Weapon - Hammer Axe (2H),,,,No,,M,,,Jessketchin,,,APS003,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-APS/EN/APS003.png,,,,,,,,,,,,,,,,,,,
APS004,APS,Tiara of Suspense,,,,,2,,,,"Revered, Guardian, Equipment, Head",,Guardwell,Instant,,,,"Suspense, The Crowd Cheers","**Instant** - Destroy this: Put a suspense counter on an aura of suspense you control. Activate this only if you've been cheered this turn.

**Guardwell**",Revered Guardian Equipment - Head,,,,No,,M,,,Amirul HHF,,,APS004,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-APS/EN/APS004.png,,,,,,,,,,,,,,,,,,,
APS005,APS,Virtuoso Bodice,,,,,2,,,,"Guardian, Equipment, Chest",,Blade Break,,,,,Suspense,"When this defends, you may remove a suspense counter from an aura you control. If you do, gain {r}{r}.

**Blade Break**",Guardian Equipment - Chest,,,,No,,M,,,Leo Avero,,,APS005,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-APS/EN/APS005.png,,,,,,,,,,,,,,,,,,,
APS006,APS,Attention Grabbers,,,,,1,,,,"Guardian, Equipment, Arms",,Blade Break,,,,,Suspense,"When this defends, you may remove a suspense counter from an aura you control. If you do, this gets +2{d} this chain link.

**Blade Break**",Guardian Equipment - Arms,,,,No,,M,,,Wirawan Pranoto,,,APS006,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-APS/EN/APS006.png,,,,,,,,,,,,,,,,,,,
APS007,APS,Boots to the Boards,,,,,2,,,,"Revered, Equipment, Legs",,Temper,,,,,,"When this defends, pay up to {r}{r}{r}. Create that many Toughness tokens.

**Temper**",Revered Equipment - Legs,,,,No,,M,,,Surya Prasteya,,,APS007,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-APS/EN/APS007.png,,,,,,,,,,,,,,,,,,,
APS008,APS,Boulder Drop,Red,1,3,7,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a hero, they put a card from their hand on top of their deck.",Guardian Action - Attack,,,,No,,R,,,Raphael Pinna,,,APS008,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-APS/EN/APS008.png,,,,,,,,,,,,,,,,,,,
APS009,APS,Fault Line,Red,1,,,,,,,,,,,,,,,,,,,,No,,R,,,Ramza Ardyputra,,,APS009,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-APS/EN/APS009.png,,,,,,,,,,,,,,,,,,,
APS010,APS,Spinal Crush,Red,1,,,,,,,,,,,,,,,,,,,,No,,M,,,Sergey Gurskiy,,,APS010,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-APS/EN/APS010.png,,,,,,,,,,,,,,,,,,,
