Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Expansion Slot 3,Artists 3,Flavor Text 3,Image URL 3
ASR001,ASR,"Ira, Scarlet Revenger",,,,,,40,4,,"Ninja, Hero",,,,,,,,Your second attack each turn gets +1{p}.,Ninja Hero,,No,,No,,M,R,,soyameii,,,ASR001,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR001.png,,,,,,,,,,,,,,,,,,,
ASR002,ASR,Edge of Autumn,,,,1,,,,,"Ninja, Weapon, Sword, 2H",,Go again,Once per Turn Action,,,,,**Once per Turn Action** - {r}: **Attack**. **Go again**,Ninja Weapon - Sword (2H),,No,,,,R,,,Fajareka Setiawan,,,ASR002,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR002.png,,,,,,,,,,,,,,,,,,,
ASR003,ASR,Iris of the Blossom,,,,,2,,,,"Ninja, Equipment, Head",,Blade Break,Instant,,,,,"**Instant** - {t}, discard a card: Search your deck for a Whirling Mist Blossom, banish it, then shuffle. You may play it this turn. Activate this only if you've hit this turn.

**Blade Break**",Ninja Equipment - Head,,,,No,,M,R,,Andrew Chou,,,ASR003,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR003.png,,,,,,,,,,,,,,,,,,,
ASR004,ASR,Robe of Autumn's Fall,,,,,0,,,,"Ninja, Equipment, Chest",,Arcane Barrier 1,,,,,,"When an Edge of Autumn you control hits, you may destroy this. If you do, gain {r}.

**Arcane Barrier 1**",Ninja Equipment - Chest,,,,No,,R,R,,Arif Wijaya,,,ASR004,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR004.png,,,,,,,,,,,,,,,,,,,
ASR005,ASR,Okana Scar Wraps,,,,,2,,,,"Ninja, Equipment, Arms",,Blade Break,Attack Reaction,,,,,"**Attack Reaction** - {t}, banish an Edge of Autumn you control: Target Ninja attack action card gets +1{p}.

Whenever an attack you control with Vengeance in its name hits, you may equip an Edge of Autumn from your banished zone.

**Blade Break**",Ninja Equipment - Arms,,,,No,,M,R,,Andrew Chou,,,ASR005,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR005.png,,,,,,,,,,,,,,,,,,,
ASR006,ASR,Snapdragon Scalers,,,,,,,,,,,,,,,,,,,,,,,,C,S,,Adolfo Navarro,,,ASR006,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR006.png,,,,,,,,,,,,,,,,,,,
ASR007,ASR,Bittering Thorns,Red,1,,,,,,,,,,,,,,,,,,,,,,C,,,Maerel Hibadita,,,ASR007,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR007.png,,,,,,,,,,,,,,,,,,,
ASR008,ASR,Enact Vengeance,Red,1,2,6,3,,,,"Ninja, Action, Attack",,Combo,,,,,,"**Combo** - If Edge of Autumn or a card with Vengeance in its name was the last attack this combat chain, this gets ""When this hits a hero, destroy all cards in their arsenal.""",Ninja Action - Attack,,,,No,,M,,,Narendra B Adi,,,ASR008,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR008.png,,,,,,,,,,,,,,,,,,,
ASR009,ASR,Flying Kick,Red,1,,,,,,,,,,,,,,,,,,,,,,C,,,Kevin Sidharta,,,ASR009,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR009.png,,,,,,,,,,,,,,,,,,,
ASR010,ASR,Give and Take,Red,1,,,,,,,,,,,,,,,,,,,,No,,M,,,Federico Musetti,,,ASR010,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR010.png,,,,,,,,,,,,,,,,,,,
