Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Expansion Slot 3,Artists 3,Flavor Text 3,Image URL 3
AST001,AST,"Aurora, Shooting Star",,,,,,,,"Elemental, Runeblade, Hero",Essence of Lightning,,,,,,,,,No,,No,,M,R,,Asur Misoa,,,AST001,/AST001.png,,,,,,,,,,,,,,,,,,,
AST002,AST,Star Fall,,,,,,,,,,,,,,,,,,,,,,C,,,Ramza Ardyputra,,,AST002,/AST002.png,,,,,,,,,,,,,,,,,,,
AST003,AST,Cap of Quick Thinking,,,,,,,,"Lightning, Equipment, Head",,,,,,,"**Instant** - Destroy this: If you would be dealt damage by a source an opponent controls this turn, you may discard an instant card to prevent 1 of that damage and draw a card.",Lightning Equipment - Head,,,,No,,M,R,,Nikko Wahyudi,,,AST003,https://d2wlb52bya4y8z.cloudfront.net/media/cards/normal/AST003-RF.webp,,,,,,,,,,,,,,,,,,,
AST004,AST,Shock Frock,,,,,,,,"Lightning, Equipment, Chest","Go again, Battleworn",,,,,,"**Action** - Destroy this: Gain {r}. Activate this only if you've played a Lightning card this turn. **Go again**

**Battleworn**",Lightning Equipment - Chest,,,,No,,M,R,,Nailsen Ivanderlie,,,AST004,https://d2wlb52bya4y8z.cloudfront.net/media/cards/normal/AST004-RF.webp,,,,,,,,,,,,,,,,,,,
AST005,AST,Zap Clappers,,,,,,,,"Lightning, Runeblade, Equipment, Arms",Blade Break,,,,,,"When this defends, you may reveal an instant card from your hand. If you do, deal 1 arcane damage to the attakcing hero.

**Blade Break**",Lightning Runeblade Equipment - Arms,,,,No,,M,R,,Asur Misoa,,,AST005,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/AST005-RF.webp,,,,,,,,,,,,,,,,,,,
AST006,AST,Starlight Striders,,,,,,,,"Lightning, Runeblade, Equipment, Legs",Blade Break,,,,,,"When this defends, you may reveal an instant card from your hand. If you do, create an Embodiment of Lightning token.

**Blade Break**",Lightning Runeblade Equipment - Legs,,,,No,,M,R,,Asur Misoa,,,AST006,https://d2wlb52bya4y8z.cloudfront.net/media/cards/normal/AST006-RF.webp,,,,,,,,,,,,,,,,,,,
AST007,AST,Arcanic Crackle,1,,,,,,,,,,,,,,,,,,,,,C,,,Joshua Raphael,,,AST007,/AST007.png,,,,,,,,,,,,,,,,,,,
AST008,AST,Arcanic Shockwave,1,,,,,,,,,,,,,,,,,,,,,C,,,Vathan Suwannaworn,,,AST008,/AST008.png,,,,,,,,,,,,,,,,,,,
AST009,AST,Entwine Lightning,1,,,,,,,,,,,,,,,,,,,,,C,,,Immanuela Crovius,,,AST009,/AST009.png,,,,,,,,,,,,,,,,,,,
AST010,AST,Flittering Charge,1,,,,,,,,,,,,,,,,,,,,,C,,,Edward Chee,,,AST010,/AST010.png,,,,,,,,,,,,,,,,,,,
