Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Expansion Slot 3,Artists 3,Flavor Text 3,Image URL 3
AVS001,AVS,"Viserai, Rune Blood",,,,,,40,4,,"Runeblade, Hero",,,,,,,,"Whenever you play a Runeblade card, if you've played another non-attack action card this turn, create a Runechant token.",Runeblade Hero,,No,No,No,,M,,,Steve Argyle,,,AVS001,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS001.png,,,,,,,,,,,,,,,,,,,
AVS002,AVS,Nebula Blade,,,,1,,,,,"Runeblade, Weapon, Sword, 2H",,,,,,,,"**Once per Turn Action** - {r}{r}: **Attack**

When this hits, create a Runechant token.

If you've played a non-attack action card this turn, this gets +3{p}.",Runeblade Weapon - Sword (2H),,No,No,,,C,,,Steve Argyle,,,AVS002,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS002.png,,,,,,,,,,,,,,,,,,,
AVS003,AVS,Helm of the Arknight,,,,,2,,,,"Runeblade, Equipment, Head",,Temper,,,,,,**Temper**,Runeblade Equipment - Head,,,,No,,M,C,EA,Orson CaptainSass,,,AVS003,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS003.png,,,,,,,,,,,,,,,,,,,
AVS004,AVS,Bloodsheath Skeleta,,,,,2,,,,"Runeblade, Equipment, Chest",,Temper,,,,,,"**Instant** - Destroy this: The next attack action card and non-attack action card you play this turn get ""This card costs {r} less to play for each Runechant you control.""

**Temper**",Runeblade Equipment - Chest,,No,No,No,,M,,,Trung Tin Shinji,,,AVS004,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS004.png,,,,,,,,,,,,,,,,,,,
AVS005,AVS,Vexing Quillhand,,,,,0,,,,"Runeblade, Equipment, Arms",,"Go again, Arcane Barrier 1",,,,,,"**Action** - Destroy this: Create 2 Runechant tokens. **Go again**

**Arcane Barrier 1**",Runeblade Equipment - Arms,,,,No,,M,,,Isuardi Therianto,,,AVS005,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS005.png,,,,,,,,,,,,,,,,,,,
AVS006,AVS,Sutcliffe's Suede Hides,,,,,0,,,,"Runeblade, Equipment, Legs",,,,,Go again,,,"**Attack Reaction** - {r}, destroy this: Target attack action card gets **go again**. Activate this only if you've played a non-attack action card this turn.",Runeblade Equipment - Legs,,,,,,C,,,Kanadekana,,,AVS006,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS006.png,,,,,,,,,,,,,,,,,,,
AVS007,AVS,Amplify the Arknight,Red,1,3,6,3,,,,"Runeblade, Action, Attack",,,,,,,,This costs {r} less to play for each Runechant you control.,Runeblade Action - Attack,,,,,,C,,,Daniel Jiménez,,,AVS007,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS007.png,,,,,,,,,,,,,,,,,,,
AVS008,AVS,Arknight Ascendancy,Red,1,6,5,3,,,,"Runeblade, Action, Attack",,"Viserai Specialization, Dominate",,,,,,"**Viserai Specialization**

This costs {r} less to play for each Runechant you control.

When this hits, create Runechant tokens equal to the damage dealt this way.

**Dominate**",Runeblade Action - Attack,,,,No,,M,,,Alexander Mokhov,,,AVS008,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS008.png,,,,,,,,,,,,,,,,,,,
AVS009,AVS,Drawn to the Dark Dimension,Red,1,2,3,3,,,,"Runeblade, Action, Attack",,,,,,,,"This costs {r} less to play for each Runechant you control.

When this attacks, draw a card.",Runeblade Action - Attack,,,,,,C,,,Adolfo Navarro,,,AVS009,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS009.png,,,,,,,,,,,,,,,,,,,
AVS010,AVS,Hocus Pocus,Red,1,0,3,3,,,,"Runeblade, Action, Attack",,,,,,,,"When this attacks, create a Runechant token.",Runeblade Action - Attack,,,,,,C,,,Mateusz Wiśniewski,,,AVS010,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS010.png,,,,,,,,,,,,,,,,,,,
AVS011,AVS,Rune Flash,Red,1,3,4,3,,,,"Runeblade, Action, Attack",,Go again,,,,,,"This costs {r} less to play for each Runechant token you control.

**Go again**",Runeblade Action - Attack,,,,,,C,,,Dmitry Solodovnikov,,,AVS011,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS011.png,,,,,,,,,,,,,,,,,,,
