Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Expansion Slot 3,Artists 3,Flavor Text 3,Image URL 3
BDD001,BDD,"Bravo, Flattering Showman",,,,,,20,4,,"Guardian, Hero, Young",,Go again,Action,Go again,Dominate,,,"**Action** - {r}{r}, {t}: Turn a face-down card in your arsenal face-up. If it has crush, it gets +2{p} and **dominate** this turn. **Go again**",Guardian Hero - Young,,,No,,No,R,,,Wisnu Tan,,,BDD001,/BDD001.png,,,,,,,,,,,,,,,,,,,
BDD002,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD002,/BDD002.png,,,,,,,,,,,,,,,,,,,
BDD003,BDD,Ironrot Helm,,,,,,,,,"Generic, Equipment, Head",,Blade Break,,,,,,**Blade Break**,Generic Equipment - Head,,,,,,C,,,Yulia Litvinova,,,BDD003,/BDD003.png,,,,,,,,,,,,,,,,,,,
BDD004,BDD,Blossom of Spring,,,,,,,,,"Generic, Equipment, Chest",,,,,,,,**Action** - Destroy this: Gain {r}. **Go again**,Generic Equipment - Chest,,,,,,C,,,Andy Aslamov,,,BDD004,/BDD004.png,,,,,,,,,,,,,,,,,,,
BDD005,BDD,Cracker Jax,,,,,,,,,"Generic, Equipment, Arms",,,,,,,,**Action** - Destroy this: The next attack action card you play this turn gets +1{p}. **Go again**,Generic Equipment - Arms,,,,,,C,,,Pavel Chuvin,,,BDD005,/BDD005.png,,,,,,,,,,,,,,,,,,,
BDD006,BDD,Ironrot Legs,,,,,,,,,"Generic, Equipment, Legs",,Blade Break,,,,,,**Blade Break**,Generic Equipment - Legs,,,,,,C,,,Yulia Litvinova,,,BDD006,/BDD006.png,,,,,,,,,,,,,,,,,,,
BDD007,BDD,Debilitate,Red,1,4,8,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a hero, their first attack during their next turn gets -2{p}.",Guardian Action - Attack,,,,,,C,,,Yulia Litvinova,,,BDD007,/BDD007.png,,,,,,,,,,,,,,,,,,,
BDD008,BDD,Knock 'Em Off Their Feet,Red,1,4,8,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a hero, {t} them.",Guardian Action - Attack,,,,No,,R,,, Galih M,,,BDD008,/BDD008.png,,,,,,,,,,,,,,,,,,,
BDD009,BDD,Thunder Quake,Red,1,6,10,3,,,,"Guardian, Action, Attack",,Heave 3,,,,,,**Heave 3**,Guardian Action - Attack,,,,,,C,,,Othon Nikolaidis,,,BDD009,/BDD009.png,,,,,,,,,,,,,,,,,,,
BDD010,BDD,Crash Down,Red,1,3,,3,,,,"Guardian, Action, Aura",,,,,,,,"At the start of your turn, destroy this, then the next Guardian attack action card you play this turn gets +6{p}.",Guardian Action - Aura,,,,,,C,,,Edward Chee,,,BDD010,/BDD010.png,,,,,,,,,,,,,,,,,,,
BDD011,BDD,Buckling Blow,Yellow,2,4,7,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a hero, put a -1{d} counter on an equipment they control.",Guardian Action - Attack,,,,,,C,,,Nathaniel Himawan,,,BDD011,/BDD011.png,,,,,,,,,,,,,,,,,,,
BDD012,BDD,Clash of Mountains,Blue,3,4,6,3,,,,"Guardian, Action, Attack",,Clash,,,,,,"When this defends a Guardian attack, **clash** with the attacking hero. The winner creates a Seismic Surge token.",Guardian Action - Attack,,,,,,C,,,Tomasz Jedruszek,,,BDD012,/BDD012.png,,,,,,,,,,,,,,,,,,,
BDD013,BDD,Disable,Blue,3,5,7,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a hero, put a card from their arsenal on the bottom of their deck.",Guardian Action - Attack,,,,No,,R,,,Nathaniel Himawan,,,BDD013,/BDD013.png,,,,,,,,,,,,,,,,,,,
BDD014,BDD,Flatten the Field,Blue,3,4,6,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a hero, destroy a Seismic Surge token they control.",Guardian Action - Attack,,,,,,C,,,Camille Alquier,,,BDD014,/BDD014.png,,,,,,,,,,,,,,,,,,,
BDD015,BDD,Grind Them Down,Blue,3,3,5,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a hero, destroy the top card of their deck.",Guardian Action - Attack,,,,,,C,,,Carlos Cruchaga,,,BDD015,/BDD015.png,,,,,,,,,,,,,,,,,,,
BDD016,BDD,Macho Grande,Blue,3,7,8,3,,,,"Guardian, Action, Attack",,Dominate,,,,,,**Dominate**,Guardian Action - Attack,,,,No,,R,,,Marco Wulfr,,,BDD016,/BDD016.png,,,,,,,,,,,,,,,,,,,
BDD017,BDD,Reinforce the Line,Blue,3,0,,,,,,"Generic, Instant",,,,,,,,Target defending attack action card gets +2{d}.,Generic Instant,,,,No,,R,,,Shen Fei,,,BDD017,/BDD017.png,,,,,,,,,,,,,,,,,,,
BDD018,BDD,Crash and Bash,Blue,3,,,2,,,,"Guardian, Block",,,,,,,,"When this defends, you may reveal a card with crush from your hand. If you do, create a Seismic Surge token.",Guardian Block,,,,,,C,,,Jessada Sutthi,,,BDD018,/BDD018.png,,,,,,,,,,,,,,,,,,,
BDD019,BDD,Seismic Surge,,,,,,,,,"Guardian, Token, Aura",,,,,,,,"At the beginning of your action phase, destroy this, then the next Guardian attack action card you play this turn costs {r} less to play.",Guardian Token - Aura,,,,,,B,,,Anastasiya Grintsova,,,BDD019,/BDD019.png,,,,,,,,,,,,,,,,,,,
BDD020,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD020,/BDD020.png,,,,,,,,,,,,,,,,,,,
BDD021,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD021,/BDD021.png,,,,,,,,,,,,,,,,,,,
BDD022,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD022,/BDD022.png,,,,,,,,,,,,,,,,,,,
BDD023,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD023,/BDD023.png,,,,,,,,,,,,,,,,,,,
BDD024,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD024,/BDD024.png,,,,,,,,,,,,,,,,,,,
BDD025,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD025,/BDD025.png,,,,,,,,,,,,,,,,,,,
BDD026,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD026,/BDD026.png,,,,,,,,,,,,,,,,,,,
BDD027,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD027,/BDD027.png,,,,,,,,,,,,,,,,,,,
BDD028,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD028,/BDD028.png,,,,,,,,,,,,,,,,,,,
BDD029,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD029,/BDD029.png,,,,,,,,,,,,,,,,,,,
BDD030,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD030,/BDD030.png,,,,,,,,,,,,,,,,,,,
BDD031,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD031,/BDD031.png,,,,,,,,,,,,,,,,,,,
BDD032,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD032,/BDD032.png,,,,,,,,,,,,,,,,,,,
BDD033,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD033,/BDD033.png,,,,,,,,,,,,,,,,,,,
BDD034,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD034,/BDD034.png,,,,,,,,,,,,,,,,,,,
BDD035,BDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDD035,/BDD035.png,,,,,,,,,,,,,,,,,,,
