Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Rarity,Foiling,Art Variation,Artist,Flavor Text,Image URL,Rarity 2,Foiling 2,Art Variation 2,Artist 2,Flavor Text 2,Image URL 2
EVO000,EVO,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,
EVO001,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO002,EVO,"Dash, Database",,,,,18,4,"Mechanologist, Hero, Young",,,,,,,"You may look at the top card of your deck at any time.

Once per turn, you may play a Mechanologist item with cost 0 or 1 from the top of your deck as though it were an instant. It costs an additional {r} to play.",Mechanologist Hero - Young,,,No,,T,,,Sam Yang,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO002.png,,,,,,
EVO003,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO004,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO005,EVO,Maxx Nitro,,,,,20,4,"Mechanologist, Hero, Young",Crank,,,,,,"**Once per Turn Action** - {r}{r}: Create a Hyper Driver token with 2 steam counters.  Activate this ability only if you've **boosted** this turn.

Hyper Drivers you control get **Crank**.",Mechanologist Hero - Young,,,No,,T,,,Mateus Manhanini,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO005.png,,,,,,
EVO006,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO007,EVO,"Teklovossen, Esteemed Magnate",,,,,40,4,"Mechanologist, Hero",,Once per Turn Instant,,,,,"You may play Evos from your banished zone.

**Once per Turn Instant** - {r}{r}{r}: You may play your next Evo this turn as though it were an instant. When you do, draw a card.",Mechanologist Hero,,No,,No,M,S,,Simon Dominic,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO007.width-450.format-webp.webp,,,,,,
EVO008,EVO,Teklovossen,,,,,20,4,"Mechanologist, Hero, Young",,Once per Turn Instant,,,,,"You may play Evos from your banished zone.

**Once per Turn Instant** - {r}{r}{r}: You may play your next Evo this turn as though it were an instant. When you do, draw a card.",Mechanologist Hero - Young,,,No,,T,S,,Simon Dominic,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO008.width-450.format-webp.webp,,,,,,
EVO009,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO010,EVO,Singularity,1,6,,3,,,"Mechanologist, Action, Construct","Transform, Legendary, Teklovossen Specialization",,,,,,"**Legendary Teklovossen Specialization**

**Transform** your hero, your weapon, and 4 Evos you have equiped into [REDACTED]",Mechanologist Action - Construct,,,,No,V,CF,,Mariusz Gandzel,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO010_V2.png,,,,,,
EVO011,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO012,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO013,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
