Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,CC Legal,Silver Age Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,Rarity 4,Foiling 4,Art Variations 4,Artists 4,Expansion Slot 4,Flavor Text 4,Identifier 4,Image URL 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Expansion Slot 5,Flavor Text 5,Identifier 5,Image URL 5,,,Rarity 6,Foiling 6,Art Variations 6,Artists 6,Expansion Slot 6,Flavor Text 6,Identifier 6,Image URL 6
GEM184,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM184,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM184.webp,,,,,,,,,GEM184,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM184.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM185,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM185,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM185.webp,,,,,,,,,GEM185,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM185.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM186,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM186,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM186.webp,,,,,,,,,GEM186,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM186.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM187,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM187,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM187.webp,,,,,,,,,GEM187,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM187.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM188,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM188,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM188.webp,,,,,,,,,GEM188,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM188.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM189,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM189,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM189.webp,,,,,,,,,GEM189,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM189.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM190,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM190,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM190.webp,,,,,,,,,GEM190,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM190.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM191,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM191,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM191.webp,,,,,,,,,GEM191,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM191.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM192,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM192,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM192.webp,,,,,,,,,GEM192,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM192.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM193,"GEM,IAR",Consuming Appetite,Yellow,2,3,6,3,,,,"Shadow, Brute, Action, Attack",,Blood Debt,,,Go again,,,"**Instant** - {r}, banish this from your hand: Until end of turn, Blasmophet, the Insatiable Hunger tokens you control get ""**Action** - {t}: **Attack**. **Go again**""

**Blood Debt**",Shadow Brute Action - Attack,,,,,P,R,EA,Satriasa,,,GEM193,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM193-RF.webp,,,P,,EA,Satriasa,,,GEM193,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM193.webp,,,,,,Satriasa,,,GEM193,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM193.webp,,,,Satriasa,,,GEM193,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM193.webp,,,,Satriasa,,,GEM193,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM193.webp,,,,Satriasa,,,GEM193,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM193.webp,,
