Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Rarity,Foiling,Art Variation,Artist,Flavor Text,Image URL,Rarity 2,Foiling 2,Art Variation 2,Artist 2,Flavor Text 2,Image URL 2,Rarity 3,Foiling 3,Art Variation 3,Artist 3,Flavor Text 3,Image URL 3
HVY000,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY001,HVY,"Kayo, Armed and Dangerous",,,,,40,4,"Brute, Hero",,,,,,,"You have 1 weapon zone.

Attack action cards you own get +1{p} while they are in any zone other than the combat chain.

The first time you discard a card with 6 or more {p} during each of your action phases, create a Might token.",Brute Hero,,No,,No,M,,,Jessada Sutthi,,/HVY001.png,V,C,,Jessada Sutthi,,/HVY001_M.png,V,C,FA,Jessada Sutthi,,/HVY001_M_Back.png
HVY002,HVY,Kayo,,,,,20,4,"Brute, Hero, Young",,,,,,,"You have 1 weapon zone.

Attack action cards you own get +1{p} while they are in any zone other than the combat chain.

The first time you discard a card with 6 or more {p} during each of your action phases, create a Might token.",Brute Hero - Young,,,No,,T,,,Jessada Sutthi,,/HVY002.png,V,C,,Jessada Sutthi,,/HVY002_M.png,V,C,FA,Jessada Sutthi,,/HVY002_M_Back.png
HVY003,HVY,"Rhinar, Reckless Rampage",,,,,40,4,"Brute, Hero",Intimidate,,,,,,"Whenever you discard a card with 6 or more {p} during your action phase, **intimidate**.",Brute Hero,,No,,No,M,,,Wisnu Tan,,/HVY003.png,,,,,,,,,,,,
HVY004,HVY,Rhinar,,,,,20,4,"Brute, Hero, Young",Intimidate,,,,,,"Whenever you discard a card with 6 or more {p} during your action phase, **intimidate**.",Brute Hero - Young,,,No,,T,,,Wisnu Tan,,/HVY004.png,,,,,,,,,,,,
HVY005,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY006,HVY,Ball Breaker,,,3,,,,"Brute, Weapon, Flail, 1H",,,,,,,"**Once per Turn Action** - {r}{r}: **Attack**

If you've discarded a card with 6 or more {p} this turn, this gets +1{p}.",Brute Weapon - Flail (1H),,,,,R,,,,,/HVY006.png,,,,,,,,,,,,
HVY007,HVY,Mini Meataxe,,,3,,,,"Brute, Weapon, Axe, 1H",,,,,,,"**Once per Turn Action** - {r}{r}: **Attack**

When this attacks, draw a card then discard a random card.",Brute Weapon - Axe (1H),,,,,R,,,,,/HVY007.png,,,,,,,,,,,,
HVY008,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY009,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY010,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY011,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY012,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
