Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,CC Legal,Silver Age Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,Rarity 4,Foiling 4,Art Variations 4,Artists 4,Expansion Slot 4,Flavor Text 4,Identifier 4,Image URL 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Expansion Slot 5,Flavor Text 5,Identifier 5,Image URL 5,Rarity 6,Foiling 6,Art Variations 6,Artists 6,Expansion Slot 6,Flavor Text 6,Identifier 6,Image URL 6
MPA001,MPA,Arakni,,,,,,20,4,,"Assassin, Hero, Young",,,,,,,,"Whenever you play a card with contract, you may look at the top card of target opponent's deck. You may put it on the bottom.",Assassin Hero - Young,,No,,No,B,,,Isuardi Therianto,,,MPA001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA001.webp,,,,,,Isuardi Therianto,,,MPA001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA001.webp,,,,,,Isuardi Therianto,,,MPA001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA001.webp,,,,Isuardi Therianto,,,MPA001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA001.webp,,,,Isuardi Therianto,,,MPA001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA001.webp,,,,Isuardi Therianto,,,MPA001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA001.webp
MPA002,MPA,"Dr. Mortimer, Blight of the Pits",,,,,,40,4,,"Assassin, Hero",,"Go again, Cure",,,,,,"**Instant** - {t}: **Cure** a disease an opponent controls. If you do, create a Silver token.

**Attack Reaction** - {t}, destroy 2 Silver you control: Target Assassin attack gets **go again**.",Assassin Hero,,,No,,V,C,FA,Othon Nikolaidis,,,MPA002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA002-MV.webp,,,V,C,FA,Othon Nikolaidis,,,MPA002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA002-MV_BACK.webp,,,,,,Othon Nikolaidis,,,MPA002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA002.webp,,,,Othon Nikolaidis,,,MPA002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA002.webp,,,,Othon Nikolaidis,,,MPA002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA002.webp,,,,Othon Nikolaidis,,,MPA002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA002.webp
MPA003,MPA,Dr. Mortimer,,,,,,20,4,,"Assassin, Hero, Young",,"Go again, Cure",,,,,,"**Instant** - {t}: **Cure** a disease an opponent controls. If you do, create a Silver token.

**Attack Reaction** - {t}, destroy 2 Silver you control: Target Assassin attack gets **go again**.",Assassin Hero - Young,,No,,No,V,C,FA,Pavel Rtishchev (Klaher),,,MPA003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA003-MV.webp,,,V,C,FA,Pavel Rtishchev (Klaher),,,MPA003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA003-MV_BACK.webp,,,B,,,Pavel Rtishchev (Klaher),,,MPA003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA003.webp,,,,Pavel Rtishchev (Klaher),,,MPA003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA003.webp,,,,Pavel Rtishchev (Klaher),,,MPA003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA003.webp,,,,Pavel Rtishchev (Klaher),,,MPA003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA003.webp
MPA004,MPA,Uzuri,,,,,,20,4,,"Assassin, Hero, Young",,,,,,,,"**Once per Turn Attack Reaction** - Banish a card from your hand face-down: Turn the banished card face-up. If it's an attack action card with cost 2 or less, put target attacking card with stealth from the active chain link on the bottom of its owner's deck, then put the banished card onto the active chain link as the attacking card.",Assassin Hero - Young,,No,,No,V,C,FA,soyameii,,,MPA004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA004-MV.webp,,,V,C,FA,soyameii,,,MPA004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA004-MV_BACK.webp,,,B,,,soyameii,,,MPA004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA004.webp,,,,soyameii,,,MPA004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA004.webp,,,,soyameii,,,MPA004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA004.webp,,,,soyameii,,,MPA004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA004.webp
MPA005,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPA005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA005.webp,,,,,,,,,MPA005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA005.webp,,,,,,,,,MPA005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA005.webp,,,,,,,MPA005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA005.webp,,,,,,,MPA005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA005.webp,,,,,,,MPA005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA005.webp
MPA006,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPA006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA006.webp,,,,,,,,,MPA006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA006.webp,,,,,,,,,MPA006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA006.webp,,,,,,,MPA006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA006.webp,,,,,,,MPA006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA006.webp,,,,,,,MPA006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA006.webp
MPA007,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPA007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA007.webp,,,,,,,,,MPA007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA007.webp,,,,,,,,,MPA007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA007.webp,,,,,,,MPA007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA007.webp,,,,,,,MPA007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA007.webp,,,,,,,MPA007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA007.webp
MPA008,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPA008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA008.webp,,,,,,,,,MPA008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA008.webp,,,,,,,,,MPA008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA008.webp,,,,,,,MPA008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA008.webp,,,,,,,MPA008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA008.webp,,,,,,,MPA008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA008.webp
MPA009,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPA009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA009.webp,,,,,,,,,MPA009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA009.webp,,,,,,,,,MPA009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA009.webp,,,,,,,MPA009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA009.webp,,,,,,,MPA009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA009.webp,,,,,,,MPA009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA009.webp
MPA010,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPA010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA010.webp,,,,,,,,,MPA010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA010.webp,,,,,,,,,MPA010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA010.webp,,,,,,,MPA010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA010.webp,,,,,,,MPA010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA010.webp,,,,,,,MPA010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPA010.webp
