Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,TCGPlayer Product Id 3,TCGPlayer Url 3,Rarity 4,Foiling 4,Art Variations 4,Expansion Slot 4,Artists 4,Flavor Text 4,Identifier 4,Image URL 4,TCGPlayer Product Id 4,TCGPlayer Url 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Flavor Text 5,Identifier 5,Image URL 5,TCGPlayer Product Id 5,TCGPlayer Url 5
"MPG001, HER135","MPG, HER","Valda, Seismic Impact",,,,,,40,4,,"Guardian, Hero",,,,,Dominate,,Crush,"Whenever an opponent draws 1 or more cards during an action phase, create that many Seismic Surge tokens.

At the start of your turn, if you control 3 or more Siesmic Surge tokens, cards you own with **crush** get **dominate** this turn.",Guardian Hero,,No,,No,,M,,,Wisnu Tan,,,MPG001,/MPG001.png,,,V,C,,Wisnu Tan,,,MPG001,/MPG001_V2.png,,,V,C,FA,Wisnu Tan,,,MPG001,/MPG001_V2_BACK.png,,,P,R,,,Wisnu Tan,,HER135,/HER135.png,,,,,,,,,,,
MPG002,MPG,Valda Brightaxe,,,,,,21,4,,"Guardian, Hero, Young",,,,,Dominate,,Crush,"Whenever an opponent draws 1 or more cards during an action phase, create that many Seismic Surge tokens.

At the start of your turn, if you control 3 or more Siesmic Surge tokens, cards you own with **crush** get **dominate** this turn.",Guardian Hero - Young,,,No,,No,V,C,,Wisnu Tan,,,MPG002,/MPG002_V2.png,,,V,C,FA,Wisnu Tan,,,MPG002,/MPG002_V2_BACK.png,,,T,,,Wisnu Tan,,,MPG002,/MPG002.png,,,,,,,,,,,,,,,,,,,,,
MPG003,MPG,High Riser,,,,3,,,,,,,,,,,,,,,,,,,,T,,,Brian Adriel,,,MPG003,/MPG003.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG004,MPG,Testament of Valahai,,,,,1,,,,"Guardian, Equipment, Off-Hand",,Guardwell,,,,,,"If you control three or more Seismic Surge tokens, this gets +2{d}. If you control six or more, instead this gets +4{d}.

**Guardwell**",Guardian Equipment - Off-Hand,,,,No,,V,C,FA,"Jessada Sutthi, Carlos Cruchaga",,,MPG004,/MPG004_V2.png,,,L,R,,Jessada Sutthi,,,MPG004,/MPG004.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG005,MPG,Helm of Isen's Peak,,,,,,,,,,,,,,,,,"**Action** - {r}, destroy this: Your hero gets +1{i} this turn.

**Battleworn**",,,,,,,C,,,Ksenia Belova,,,MPG005,/MPG005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG006,MPG,Richter Scale,,,,,1,,,,"Guardian, Equipment, Chest",,Battleworn,Action,,,,,"**Action** - Destroy this: Create 2 Seismic Surge tokens.

**Battleworn**",Guardian Equipment - Chest,,,,,,C,,,Shen Fei,,,MPG006,/MPG006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG007,MPG,Gauntlet of Boulderhold,,,,,1,,,,"Guardian, Equipment, Arms",,Battleworn,Action,Go again,,,,"**Action** - {r}{r}{r}, destroy this: The next Guardian attack action card you play from arsenal this turn gets +2{p}. **Go again**

**Battleworn**",Guardian Equipment - Arms,,,,,,C,,,Alief Rusdiatama,,,MPG007,/MPG007.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG008,MPG,Craterhoof,,,,,1,,,,"Guardian, Equipment, Legs",,Battleworn,Action,Go again,Dominate,,,"**Action** - {r}{r}{r}, destroy this: The next Guardian attack action card you play from arsenal this turn gets **dominate**. **Go again**

**Battleworn**",Guardian Equipment - Legs,,,,,,C,,,Isuardi Therianto,,,MPG008,/MPG008.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG009,MPG,Hoarding of Denial,,,,,0,,,,"Guardian, Equipment, Off-Hand",,Blade Break,,,,,,"This gets +X{d} while defending, where X is the number of cards with cost 3 or more defending this combat chain.

**Blade Break**",Guardian Equipment - Off-Hand,,,,,,C,,,Brian Adriel,,,MPG009,/MPG009.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG010,MPG,Rotten Old Buckler,,,,,,,,,,,,,,,,,,,,,,,,C,,,Kyxarie Peralta,,,MPG010,/MPG010.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
