Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Rarity,Foiling,Art Variation,Artist,Flavor Text,Identifier,Image URL,Rarity 2,Foiling 2,Art Variation 2,Artist 2,Flavor Text 2,Identifier 2,Image URL 2,Rarity 3,Foiling 3,Art Variation 3,Artist 3,Flavor Text 3,Identifier 3,Image URL 3,Rarity 4,Foiling 4,Art Variation 4,Artist 4,Flavor Text 4,Identifier 4,Image URL 4
ENG001,"ENG, MST",Enigma,,,,,20,4,"Mystic, Illusionist, Hero, Young",,,,,,,"Your first Spectral Shield attack each turn costs {r} less to activate.

**Once per Turn Instant** - {c}{c}{c}: Create a Spectral Shield token with a +1{p} counter.",Mystic Illusionist Hero - Young,,,,,R,R,,Asur Misoa,,ENG001,/ENG001.png,,,,,,,,,,,,,,,,,,,,,
ENG002,"ENG, MST","Cosmo, Scroll of Ancestral Tapestry",,,,,,,"Illusionist, Weapon, Scroll, 2H",,,,,,Ward,"During your turn, auras you control with **ward** are weapons with base {p} equal to their **ward** and **Once per Turn Action - {r}: Attack""

Your aura attacks with one or more +1{p} counters get **go again**.",Illusionist Weapon - Scroll (2H),,,,,C,,,Asur Misoa,,ENG002,/ENG002.png,,,,,,,,,,,,,,,,,,,,,
ENG003,"ENG, MST",Truths Retold,,,,,,,"Mystic, Illusionist, Equipment, Head","Cloaked, Ward 1",Instant,,,,,"**Cloaked**

**Instant** - {r}, turn this face-up: Put an aura from your graveyard on the bottom of your deck.

**Ward 1**",Mystic Illusionist Equipment - Head,,,,,C,,,MJ Fetesio,,ENG003,/ENG003.png,,,,,,,,,,,,,,,,,,,,,
ENG004,"ENG, MST",Heirloom of Rabbit Hide,,,,,,,"Mystic, Illusionist, Equipment, Chest","Cloaked, Ward 4",,,,,,"**Cloaked**

While this is equipped face-down, at the start of your turn, if you have exactly 1{h}, you may turn this face-up.

**Ward 4**",Mystic Illusionist Equipment - Chest,,,,,R,,,Septimius Ferdian,,ENG004,/ENG004.png,,,,,,,,,,,,,,,,,,,,,
ENG005,"ENG, MST",Uphold Tradition,,,,,,,"Mystic, Illusionist, Equipment, Arms","Cloaked, Ward 1",Instant,,,,,"**Cloaked**

**Instant** - {r}, turn this face-up: Put a +1{p} counter on an aura you control with **ward**.

**Ward 1**",Mystic Illusionist Equipment - Arms,,,,,C,,,Kelvin Jauwri,,ENG005,/ENG005.png,,,,,,,,,,,,,,,,,,,,,
ENG006,"ENG, MST",Skywalker Keikoi,,,,,,,"Mystic, Equipment, Legs",Cloaked,Instant,,,,,"**Cloaked**

**Instant** - Destroy this: Prevent the next 1 damage that would be dealt to you this turn. Activate this ability only while this is face-down.",Mystic Equipment - Legs,,,,,C,,,Alief Rusdiatama,,ENG006,/ENG006.png,,,,,,,,,,,,,,,,,,,,,
ENG007,"ENG, MST",Battlefront Bastion,1,3,7,2,,,"Generic, Action, Attack",,,,,,,"When this defends alone, prevent the next 1 damage that would be dealt to you this turn.",Generic Action - Attack,,,,,C,,,Bastien Jez,,ENG007,/ENG007.png,,,,,,,,,,,,,,,,,,,,,
ENG008,"ENG, MST",Spectral Manifestations,1,2,,2,,,"Illusionist, Action",Go again,,,,,,"Create a Spectral Shield token, then if you control no other Illusionist auras, put three +1{p} counters on it.

**Go again**",Illusionist Action,,,,,C,,,Carlos Cruchaga,,ENG008,/ENG008.png,,,,,,,,,,,,,,,,,,,,,
ENG009,"ENG, MST",Haze Shelter,1,2,,,,,"Mystic, Illusionist, Instant, Aura",Ward X,,,,,,"**Ward X**, where X is 4 if you've pitched a blue card this turn, otherwise X is 1.",Mystic Illusionist Instant - Aura,,,,,C,,,Andrew Chou,,ENG009,/ENG009.png,,,,,,,,,,,,,,,,,,,,,
ENG010,"ENG, MST",Waxing Specter,1,2,,,,,"Mystic, Illusionist, Instant, Aura",Ward 3,,,,,,"If you've pitched a blue card this turn, this enters the arena with a +1{p} counter.

**Ward 3**",Mystic Illusionist Instant - Aura,,,,,C,,,Marco González,,ENG010,/ENG010.png,,,,,,,,,,,,,,,,,,,,,
