Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,CC Legal,Silver Age Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,Rarity 4,Foiling 4,Art Variations 4,Artists 4,Expansion Slot 4,Flavor Text 4,Identifier 4,Image URL 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Expansion Slot 5,Flavor Text 5,Identifier 5,Image URL 5,Rarity 6,Foiling 6,Art Variations 6,Artists 6,Expansion Slot 6,Flavor Text 6,Identifier 6,Image URL 6
SAT001,SAT,"Prism, Advent of Thrones",,,,,,,,,,,,,,,,,,,,,,,R,,,Livia Prime,,,SAT001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT001.webp,,,,,,Livia Prime,,,SAT001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT001.webp,,,,,,Livia Prime,,,SAT001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT001.webp,,,,Livia Prime,,,SAT001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT001.webp,,,,Livia Prime,,,SAT001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT001.webp,,,,Livia Prime,,,SAT001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT001.webp
SAT002,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT002.webp,,,,,,,,,SAT002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT002.webp,,,,,,,,,SAT002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT002.webp,,,,,,,SAT002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT002.webp,,,,,,,SAT002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT002.webp,,,,,,,SAT002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT002.webp
SAT003,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT003.webp,,,,,,,,,SAT003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT003.webp,,,,,,,,,SAT003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT003.webp,,,,,,,SAT003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT003.webp,,,,,,,SAT003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT003.webp,,,,,,,SAT003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT003.webp
SAT004,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT004.webp,,,,,,,,,SAT004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT004.webp,,,,,,,,,SAT004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT004.webp,,,,,,,SAT004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT004.webp,,,,,,,SAT004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT004.webp,,,,,,,SAT004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT004.webp
SAT005,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT005.webp,,,,,,,,,SAT005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT005.webp,,,,,,,,,SAT005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT005.webp,,,,,,,SAT005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT005.webp,,,,,,,SAT005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT005.webp,,,,,,,SAT005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT005.webp
SAT006,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT006.webp,,,,,,,,,SAT006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT006.webp,,,,,,,,,SAT006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT006.webp,,,,,,,SAT006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT006.webp,,,,,,,SAT006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT006.webp,,,,,,,SAT006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT006.webp
SAT007,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT007.webp,,,,,,,,,SAT007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT007.webp,,,,,,,,,SAT007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT007.webp,,,,,,,SAT007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT007.webp,,,,,,,SAT007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT007.webp,,,,,,,SAT007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT007.webp
SAT008,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT008.webp,,,,,,,,,SAT008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT008.webp,,,,,,,,,SAT008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT008.webp,,,,,,,SAT008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT008.webp,,,,,,,SAT008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT008.webp,,,,,,,SAT008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT008.webp
SAT009,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT009.webp,,,,,,,,,SAT009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT009.webp,,,,,,,,,SAT009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT009.webp,,,,,,,SAT009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT009.webp,,,,,,,SAT009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT009.webp,,,,,,,SAT009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT009.webp
SAT010,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT010.webp,,,,,,,,,SAT010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT010.webp,,,,,,,,,SAT010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT010.webp,,,,,,,SAT010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT010.webp,,,,,,,SAT010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT010.webp,,,,,,,SAT010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT010.webp
SAT011,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT011.webp,,,,,,,,,SAT011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT011.webp,,,,,,,,,SAT011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT011.webp,,,,,,,SAT011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT011.webp,,,,,,,SAT011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT011.webp,,,,,,,SAT011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT011.webp
SAT012,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT012.webp,,,,,,,,,SAT012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT012.webp,,,,,,,,,SAT012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT012.webp,,,,,,,SAT012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT012.webp,,,,,,,SAT012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT012.webp,,,,,,,SAT012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT012.webp
SAT013,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT013.webp,,,,,,,,,SAT013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT013.webp,,,,,,,,,SAT013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT013.webp,,,,,,,SAT013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT013.webp,,,,,,,SAT013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT013.webp,,,,,,,SAT013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT013.webp
SAT014,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT014.webp,,,,,,,,,SAT014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT014.webp,,,,,,,,,SAT014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT014.webp,,,,,,,SAT014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT014.webp,,,,,,,SAT014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT014.webp,,,,,,,SAT014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT014.webp
SAT015,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT015,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT015.webp,,,,,,,,,SAT015,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT015.webp,,,,,,,,,SAT015,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT015.webp,,,,,,,SAT015,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT015.webp,,,,,,,SAT015,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT015.webp,,,,,,,SAT015,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT015.webp
SAT016,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAT016,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT016.webp,,,,,,,,,SAT016,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT016.webp,,,,,,,,,SAT016,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT016.webp,,,,,,,SAT016,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT016.webp,,,,,,,SAT016,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT016.webp,,,,,,,SAT016,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SAT016.webp
