Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,CC Legal,Silver Age Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,Rarity 4,Foiling 4,Art Variations 4,Artists 4,Expansion Slot 4,Flavor Text 4,Identifier 4,Image URL 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Expansion Slot 5,Flavor Text 5,Identifier 5,Image URL 5,Rarity 6,Foiling 6,Art Variations 6,Artists 6,Expansion Slot 6,Flavor Text 6,Identifier 6,Image URL 6
SPW001,SPW,"Killjoy, the Crooked Blade",,,,,,20,4,,"Reviled, Warrior, Thief, Hero, Young",,The crowd boos,,,,,,"You may attack any opposing hero.

Whenever you steal a Gold, **the crowd boos** you.

The first time the crowd boos you each turn, each hero with more {h} than you loses 1{h}.",Reviled Warrior Thief Hero - Young,,,,,R,R,,Henrique Lindner,,,SPW001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW001-RF.webp,,,,,,Henrique Lindner,,,SPW001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW001.webp,,,,,,Henrique Lindner,,,SPW001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW001.webp,,,,Henrique Lindner,,,SPW001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW001.webp,,,,Henrique Lindner,,,SPW001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW001.webp,,,,Henrique Lindner,,,SPW001,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW001.webp
SPW002,SPW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPW002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW002.webp,,,,,,,,,SPW002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW002.webp,,,,,,,,,SPW002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW002.webp,,,,,,,SPW002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW002.webp,,,,,,,SPW002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW002.webp,,,,,,,SPW002,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW002.webp
SPW003,SPW,"Zane, Broadly Beloved",,,,,,20,4,,"Revered, Warrior, Hero, Young",,The crowd cheers,,,,,,"You may equip 2H swords as though they were 1H.

Whenever you win a wager, **the crowd cheers** you.

The first time the crowd cheers you each turn, each hero draws a card.",Revered Warrior Hero - Young,,,,,R,R,,Sebastian Giacobino,,,SPW003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW003-RF.webp,,,,,,Sebastian Giacobino,,,SPW003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW003.webp,,,,,,Sebastian Giacobino,,,SPW003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW003.webp,,,,Sebastian Giacobino,,,SPW003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW003.webp,,,,Sebastian Giacobino,,,SPW003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW003.webp,,,,Sebastian Giacobino,,,SPW003,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW003.webp
SPW004,SPW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPW004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW004.webp,,,,,,,,,SPW004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW004.webp,,,,,,,,,SPW004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW004.webp,,,,,,,SPW004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW004.webp,,,,,,,SPW004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW004.webp,,,,,,,SPW004,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW004.webp
SPW005,SPW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPW005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW005.webp,,,,,,,,,SPW005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW005.webp,,,,,,,,,SPW005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW005.webp,,,,,,,SPW005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW005.webp,,,,,,,SPW005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW005.webp,,,,,,,SPW005,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW005.webp
SPW006,SPW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPW006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW006.webp,,,,,,,,,SPW006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW006.webp,,,,,,,,,SPW006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW006.webp,,,,,,,SPW006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW006.webp,,,,,,,SPW006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW006.webp,,,,,,,SPW006,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW006.webp
SPW007,SPW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPW007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW007.webp,,,,,,,,,SPW007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW007.webp,,,,,,,,,SPW007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW007.webp,,,,,,,SPW007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW007.webp,,,,,,,SPW007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW007.webp,,,,,,,SPW007,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW007.webp
SPW008,SPW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPW008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW008.webp,,,,,,,,,SPW008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW008.webp,,,,,,,,,SPW008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW008.webp,,,,,,,SPW008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW008.webp,,,,,,,SPW008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW008.webp,,,,,,,SPW008,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW008.webp
SPW009,SPW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPW009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW009.webp,,,,,,,,,SPW009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW009.webp,,,,,,,,,SPW009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW009.webp,,,,,,,SPW009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW009.webp,,,,,,,SPW009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW009.webp,,,,,,,SPW009,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW009.webp
SPW010,SPW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPW010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW010.webp,,,,,,,,,SPW010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW010.webp,,,,,,,,,SPW010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW010.webp,,,,,,,SPW010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW010.webp,,,,,,,SPW010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW010.webp,,,,,,,SPW010,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SPW010.webp
