Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Rarity,Foiling,Art Variation,Artist,Flavor Text,Image URL,Rarity 2,Foiling 2,Art Variation 2,Artist 2,Flavor Text 2,Image URL 2
EVO000,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO001,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO002,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO003,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO004,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO005,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO006,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO007,EVO,"Teklovossen, Esteemed Magnate",,,,,40,4,"Mechanologist, Hero",,Once per Turn Instant,,,,,"You may play Evos from your banished zone.

**Once per Turn Instant** - {r}{r}{r}: You may play your next Evo this turn as though it were an instant. When you do, draw a card.",Mechanologist Hero,,No,,No,M,S,,Simon Dominic,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO007.width-450.format-webp.webp,,,,,,
EVO008,EVO,Teklovossen,,,,,20,4,"Mechanologist, Hero, Young",,Once per Turn Instant,,,,,"You may play Evos from your banished zone.

**Once per Turn Instant** - {r}{r}{r}: You may play your next Evo this turn as though it were an instant. When you do, draw a card.",Mechanologist Hero - Young,,,No,,T,S,,Simon Dominic,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO008.width-450.format-webp.webp,,,,,,
EVO009,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO010,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO011,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO012,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO013,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO014,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO015,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO016,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO017,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO018,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO019,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO020,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO021,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO022,EVO,Proto Base Head,,,,,,,"Mechanologist, Equipment, Base, Head",,,,,,,,Mechanologist Equipment - Base Head,,,,,T,S,,Vlad Tashkinov,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO022.width-450.format-webp.webp,,,,,,
EVO023,EVO,Proto Base Chest,,,,,,,"Mechanologist, Equipment, Base, Chest",,,,,,,,Mechanologist Equipment - Base Chest,,,,,T,S,,Dmitriy Semyonov,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO023.width-450.format-webp.webp,,,,,,
EVO024,EVO,Proto Base Arms,,,,,,,"Mechanologist, Equipment, Base, Arms",,,,,,,,Mechanologist Equipment - Base Arms,,,,,T,S,,Grigoriy Parshakov,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO024.width-450.format-webp.webp,,,,,,
EVO025,EVO,Proto Base Legs,,,,,,,"Mechanologist, Equipment, Base, Legs",,,,,,,,Mechanologist Equipment - Base Legs,,,,,T,S,,Revazashvili E.,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO025.width-450.format-webp.webp,,,,,,
EVO026,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO027,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO028,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO029,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO030,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO031,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO032,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO033,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO034,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO035,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO036,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO037,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO038,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO039,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO040,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO041,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO042,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO043,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO044,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO045,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO046,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO047,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO048,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO049,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO050,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO051,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO052,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO053,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO054,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
