name,identifier,setIdentifiers,sets,rarity,class,talent,type,actionSubType,equipmentType,resourceSubType,tokenSubType,weaponType,handsRequired,pitch,cost,power,defense,specialCost,specialPower,specialDefense,hero,young,health,intellect,keywords,earthFusion,iceFusion,lightningFusion,specialization,bannedFormats,functionalText,typeText,imageUrl
"Ruu'di, Gem Keeper",ruudi-gem-keeper,LSS001,Promos,Promo,Merchant,NotTalented,Hero,,,,,,,,,,,,,,Ruudi,,40,4,,,,,,"Blitz, ClassicConstructed","You may only have PSA graded cards in your deck.

**Once per Turn Action** - {r}: Reveal the top card of your deck. If it's graded Gem Min 10, put it into your hand, otherwise each opponent may draw a card. **Go again**",Hero – Merchant,https://storage.googleapis.com/fabmaster/media/images/LSS001.width-450.png
Go Bananas,go-bananas-yellow,LSS002,Promos,Promo,Generic,NotTalented,Instant,,,,,,,2,0,,,,,,,,,,,,,,,"Blitz, ClassicConstructed","Name an action card. Open and reveal a booster pack of Flesh and Blood and put all cards with the chosen name into your hand. If the booster pack does not contain a card with the chosen name, you may repeat this process.",Generic Instant,https://storage.googleapis.com/fabmaster/media/images/LSS002-P.width-450.png
Taylor,taylor,LSS003,Promos,Promo,Shapeshifter,NotTalented,Hero,,,,,,,,,,,,,,Taylor,TRUE,18,4,,,,,,"Blitz, ClassicConstructed","You may have equipment of any class or talent in your inventory. Each equipment in your starting inventory must have a different name.

At the start of your turn, you may banish an equipment you control. If you do, equip a card of the same subtype from your inventory.",Shapeshifter Hero – Young,https://storage.googleapis.com/fabmaster/media/images/LSS003_A.width-450.png
"Yorick, Weaver of Tales",yorick-weaver-of-tales,LSS004,Promos,Promo,Bard,NotTalented,Hero,,,,,,,,,,,,,,Yorick,TRUE,20,4,,,,,,"Blitz, ClassicConstructed","At the start of the game, all heroes shuffle their starting decks together. All heroes share the same deck and graveyard this game.",Bard Hero – Young,https://storage.googleapis.com/fabmaster/media/images/LSS004_A.width-450.png
Heart of Fyendal,heart-of-fyendal-blue,WTR000,WelcomeToRathe,Fabled,Generic,NotTalented,Resource,,,Gem,,,,3,,,,,,,,,,,Legendary,,,,,,"When you pitch Heart of Fyendal, if you have less {h} than your opponent, gain 1{h}.",Generic Resource – Gem,https://storage.googleapis.com/fabmaster/media/images/WTR_0.width-450.png
"Rhinar, Reckless Rampage",rhinar-reckless-rampage,"HER001, HER021, WTR001, RNR001, CRU001","HeroDeck, HeroDeck, WelcomeToRathe, HeroDeck, CrucibleOfWar",Token,Brute,NotTalented,Hero,,,,,,,,,,,,,,Rhinar,,40,4,Intimidate,,,,,,"Whenever you discard a card with 6 or more {p} during your action phase, **intimidate**. *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*",Brute Hero,https://storage.googleapis.com/fabmaster/media/images/HER001-P.width-450.png
Rhinar,rhinar,"HER005, HER054, WTR002, RNR002","HeroDeck, HeroDeck, WelcomeToRathe, HeroDeck",Token,Brute,NotTalented,Hero,,,,,,,,,,,,,,Rhinar,TRUE,20,4,Intimidate,,,,,,"When you discard a card with 6 or more {p} during your action phase, **intimidate**. *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*",Brute Hero – Young,https://storage.googleapis.com/fabmaster/media/images/HER005-P.width-450.png
Romping Club,romping-club,"LGS001, WTR003, RNR003, CRU003","Promos, WelcomeToRathe, HeroDeck, CrucibleOfWar",Token,Brute,NotTalented,Weapon,,,,,Club,TwoHanded,,,4,,,,,,,,,,,,,,,"**Once per Turn Action** - {r}{r}: **Attack**

**Once per Turn Effect** – When you discard a card with 6 or more {p}, Romping Club gains +1{p} until end of turn.",Brute Weapon - Club (2H),https://storage.googleapis.com/fabmaster/media/images/LGS001-P.width-450.png
Scabskin Leathers,scabskin-leathers,"FAB003, WTR004","Promos, WelcomeToRathe",Legendary,Brute,NotTalented,Equipment,,Legs,,,,,,,,2,,,,,,,,Battleworn,,,,,,"**Once per turn Action** - 0: Roll a 6 sided die. Gain action points equal to half the number rolled, rounded down.

**Battleworn** *(If you defend with Scabskin Leathers, put a -1{d} counter on it when the combat chain closes.)*",Brute Equipment - Legs,https://storage.googleapis.com/fabmaster/media/images/FAB003-P.width-450.png
Barkbone Strapping,barkbone-strapping,WTR005,WelcomeToRathe,Common,Brute,NotTalented,Equipment,,Chest,,,,,,,,1,,,,,,,,Battleworn,,,,,,"**Instant** - Destroy Barkbone Strapping: Roll a 6 die. Gain {r} equal to half the number rolled, rounded down.

**Battleworn** *(If you defend with Barkbone Strapping, put a -1{d} counter on it when the combat chain closes.)*",Brute Equipment – Chest,https://storage.googleapis.com/fabmaster/media/images/WTR_5.width-450.png
